,timestamp,open,close,volume,trades,bsk,ewm8,ewm13,ewm21,ewm55,StotchRSI
674,2019-06-22,10159.86,10729.5,104169.448,923334,0,9586.094,9223.8271,8863.4392,7813.202,1.0
675,2019-06-23,10729.0,10906.07,57445.3239,557935,0,9879.422,9464.1475,9049.1329,7923.6616,1.0
676,2019-06-24,10905.95,11056.59,43101.0453,440335,0,10141.0149,9691.6393,9231.629,8035.5519,1.0
677,2019-06-25,11056.59,11820.86,61276.6866,597798,0,10514.3138,9995.8137,9467.0137,8170.7414,1.0
678,2019-06-26,11821.28,13093.8,155930.1474,1355074,2,11087.5329,10438.3832,9796.7215,8346.565,1.0
679,2019-06-27,13098.38,11329.99,173894.8209,1357233,0,11141.4123,10565.7556,9936.1096,8453.1158,0.0653
680,2019-06-28,11329.99,12400.63,95795.204,883116,0,11421.2384,10827.8805,10160.1569,8594.0985,0.2252
681,2019-06-29,12407.06,11903.13,69642.0742,732073,0,11528.3255,10981.4876,10318.609,8712.2782,0.0205
682,2019-06-30,11903.13,10854.1,84512.5304,711267,0,11378.4976,10963.2893,10367.29,8788.7718,0.0
683,2019-07-01,10854.1,10624.93,90962.2683,757458,2,11211.0381,10914.9523,10390.7118,8854.3489,0.0
684,2019-07-02,10624.9,10842.85,109561.0387,870148,0,11129.2185,10904.652,10431.8153,8925.3668,0.0418
685,2019-07-03,10844.98,11940.0,96815.9003,814754,0,11309.3922,11052.5588,10568.923,9033.0323,0.2301
686,2019-07-04,11940.0,11145.67,66512.2219,643867,0,11273.0095,11065.8604,10621.3545,9108.4836,0.0457
687,2019-07-05,11145.67,10970.73,63534.3506,564857,1,11205.8363,11052.2704,10653.1159,9174.9924,0.0073
688,2019-07-06,10982.41,11256.49,51469.4963,470692,0,11217.0927,11081.4446,10707.9681,9249.3316,0.0603
689,2019-07-07,11256.45,11406.24,38884.7956,366769,0,11259.1254,11127.8439,10771.4474,9326.3641,0.0884
690,2019-07-08,11410.0,12238.6,52182.3672,507860,0,11476.7864,11286.5234,10904.8249,9430.3725,0.2341
691,2019-07-09,12238.6,12543.41,78442.1303,660273,2,11713.8139,11466.0786,11053.7872,9541.5524,0.2828
692,2019-07-10,12548.51,12108.37,109246.045,899391,0,11801.493,11557.8345,11149.6583,9633.2245,0.3607
693,2019-07-11,12108.11,11342.89,87506.4611,760057,0,11699.5812,11527.1282,11167.2249,9694.2839,0.0
694,2019-07-12,11342.88,11757.22,56321.8583,537561,0,11712.3899,11559.9984,11220.8608,9767.9602,0.2385
695,2019-07-13,11757.22,11355.76,54245.5945,510305,0,11633.1388,11530.8215,11233.1243,9824.6674,0.0
696,2019-07-14,11355.78,10174.18,72517.5792,649043,1,11308.9257,11337.0156,11136.8567,9837.15,0.0
697,2019-07-15,10174.18,10838.72,81922.4263,732206,0,11204.4356,11265.8305,11109.7533,9872.9203,0.2477
698,2019-07-16,10833.78,9439.59,97219.4434,796646,0,10812.2477,11004.939,10957.9203,9857.4442,0.0
699,2019-07-17,9430.17,9667.92,84942.6727,757742,0,10557.9526,10813.9363,10840.6476,9850.6755,0.0726
700,2019-07-18,9668.86,10627.16,80283.3103,734821,0,10573.332,10787.254,10821.2396,9878.4071,0.3565
701,2019-07-19,10628.64,10504.29,56546.9321,567735,0,10557.9894,10746.8305,10792.426,9900.7601,0.323
702,2019-07-20,10505.78,10740.23,47331.8998,461660,2,10598.4873,10745.8876,10787.6809,9930.7411,0.3927
703,2019-07-21,10740.27,10589.45,38834.2879,395452,0,10596.479,10723.5394,10769.6599,9954.2664,0.3467
704,2019-07-22,10590.15,10340.31,40467.9548,389565,0,10539.5526,10668.7923,10730.6281,9968.0537,0.2692
705,2019-07-23,10343.08,9864.91,47624.3707,448147,0,10389.632,10553.952,10651.9265,9964.37,0.1535
706,2019-07-24,9864.78,9763.28,43475.3804,424762,0,10250.4427,10440.9988,10571.1404,9957.1882,0.1455
707,2019-07-25,9763.4,9879.87,37873.3547,368176,0,10168.0932,10360.8376,10508.2977,9954.4269,0.2165
708,2019-07-26,9882.15,9824.0,27167.4632,299935,0,10091.628,10284.1465,10446.0888,9949.7688,0.2405
709,2019-07-27,9824.0,9476.52,43809.7783,401418,1,9954.9374,10168.7713,10357.9462,9932.867,0.0137
710,2019-07-28,9478.92,9541.54,29401.0229,271327,0,9863.0713,10079.1668,10283.7274,9918.8911,0.0927
711,2019-07-29,9541.54,9507.64,29021.9374,294468,0,9784.0865,9997.5201,10213.174,9904.2035,0.0608
712,2019-07-30,9509.07,9574.21,32536.3688,283961,0,9737.4473,9937.0473,10155.0864,9892.418,0.1403
713,2019-07-31,9575.0,10080.53,39515.3546,364212,0,9813.6879,9957.5448,10148.3085,9899.1363,0.8123
714,2019-08-01,10080.53,10374.99,41727.637,378062,0,9938.4217,10017.1798,10168.9159,9916.1311,1.0
715,2019-08-02,10375.0,10523.75,42990.4442,431322,0,10068.4947,10089.547,10201.1736,9937.8318,1.0
716,2019-08-03,10523.75,10816.86,33802.3188,348893,0,10234.7981,10193.4488,10257.1451,9969.2256,1.0
717,2019-08-04,10816.86,10929.23,39924.7451,353721,0,10389.1163,10298.5604,10318.2437,10003.5115,1.0
718,2019-08-05,10929.99,11828.8,65153.6737,622610,0,10709.046,10517.1661,10455.567,10068.7004,1.0
719,2019-08-06,11830.0,11481.69,76705.3899,625827,0,10880.7447,10654.9552,10548.8509,10119.1643,0.8075
720,2019-08-07,11481.69,11975.03,69173.3904,592916,0,11123.9192,10843.5373,10678.5036,10185.4452,0.9702
721,2019-08-08,11975.04,11999.77,51207.2572,473584,2,11318.5527,11008.7134,10798.6187,10250.2425,0.9781
722,2019-08-09,11994.17,11879.99,39427.1526,410902,0,11443.3165,11133.1815,10896.9252,10308.4478,0.9059
723,2019-08-10,11879.98,11309.31,42633.087,399237,0,11413.5373,11158.3427,10934.4147,10344.1929,0.5805
724,2019-08-11,11309.24,11549.97,26772.9069,306234,0,11443.8557,11214.2895,10990.3743,10387.2563,0.68
725,2019-08-12,11539.08,11396.08,17568.2271,255966,0,11433.2389,11240.2596,11027.2566,10423.2858,0.5801
726,2019-08-13,11398.35,10892.71,33234.7297,337834,0,11313.1213,11190.6096,11015.0251,10440.0509,0.0658
727,2019-08-14,10893.36,10050.37,54451.8475,534507,2,11032.5099,11027.7182,10927.3292,10426.1337,0.0
728,2019-08-15,10055.16,10293.93,38174.4511,373368,0,10868.3811,10922.8913,10869.7474,10421.4122,0.1201
729,2019-08-16,10296.77,10331.54,51758.1429,504740,0,10749.083,10838.4126,10820.8195,10418.2024,0.1389
730,2019-08-17,10331.15,10216.02,29000.5812,332795,0,10630.6246,10749.4994,10765.8377,10410.9816,0.0898
731,2019-08-18,10216.05,10306.78,24085.3952,265705,0,10558.6591,10686.2537,10724.1052,10407.2602,0.1408
732,2019-08-19,10306.17,10915.54,37243.3192,337022,0,10637.966,10719.0089,10741.5084,10425.413,0.4641
733,2019-08-20,10914.73,10760.51,32298.9217,305065,0,10665.198,10724.9376,10743.2358,10437.3808,0.3837
734,2019-08-21,10760.51,10142.57,47355.7193,458814,0,10549.0584,10641.7423,10688.6298,10426.8518,0.0941
735,2019-08-22,10140.82,10099.88,34059.6427,401148,0,10449.241,10564.3334,10635.1071,10415.1742,0.0816
736,2019-08-23,10099.9,10389.55,27550.3362,326866,0,10435.9763,10539.3643,10612.7837,10414.2591,0.3417
737,2019-08-24,10388.16,10134.35,27692.4568,313227,0,10368.9483,10481.5051,10569.2897,10404.2623,0.1679
738,2019-08-25,10134.61,10142.69,26271.6574,289956,0,10318.6686,10433.103,10530.508,10394.9205,0.1996
